=== XẾP HẠNG SELLER ===

  Hạng Seller_ID                                   Tổng DT   Số đơn       Tiền hàng       Phí VC
-----------------------------------------------------------------------------------------------
     1 4869f7a5dfa277a7dca6462dcf3b52b2         249,640.70    1,132      229,472.63    20,168.07
     2 7c67e1448b00f6e969d365cea6b010ab         239,536.44      982      187,923.89    51,612.55
     3 53243585a1d6dc2643021fd1853d8905         235,856.68      358      222,776.05    13,080.63
     4 4a3ca9315b744ce9f8e9374361493884         235,539.96    1,806      200,472.92    35,067.04
     5 fa1c13f2614d7b5c4749cbc52fecda94         204,084.73      585      194,042.03    10,042.70
     6 da8622b14eb17ae2831f4ac5b9dab84a         185,192.32    1,314      160,236.57    24,955.75
     7 7e93a43ef30c4f03f38b393420bc753a         182,754.05      336      176,431.87     6,322.18
     8 1025f0e2d44d7041d6cf58b6550e0bfa         172,860.69      915      138,968.55    33,892.14
     9 7a67c85e85bb2ce8582c35f2203ad736         162,648.38    1,160      141,745.53    20,902.85
    10 955fee9216a65b617aa5c0531780ce60         160,602.68    1,287      135,171.70    25,430.98
    11 6560211a19b47992c3666cc44a7e94c0         151,265.77    1,854      123,304.83    27,960.94
    12 1f50f920176fa81dab994f9023523100         142,104.98    1,404      106,939.21    35,165.77
    13 46dc3b2cc0980fb8ec44634e21d2718e         139,909.69      521      128,111.19    11,798.50
    14 a1043bafd471dff536d0c462352beb48         133,745.25      718      101,901.16    31,844.09
    15 cc419e0650a3c5ba77189a1882b7556a         129,957.41    1,706      104,288.42    25,668.99
    16 620c87c171fb2a6dd6e8bb4dec959fc6         128,909.71      740      114,774.50    14,135.21
    17 5dceca129747e92ff8ef7a997dc4f8ca         125,816.92      325      112,155.53    13,661.39
    18 7d13fca15225358621be4086e1eb0964         122,261.02      565      113,628.97     8,632.05
    19 3d871de0142ce09b7081e2b9d1733cb1         117,347.71    1,080       94,914.20    22,433.51
    20 edb1ef5e36e0c8cd84eb3c9b003e486d          83,189.65      166       79,284.55     3,905.10
    21 ccc4bbb5f32a6ab2b7066a4130f114e3          79,261.60      187       74,004.62     5,256.98
    22 cca3071e3e9bb7d12640c9fbe2301306          78,381.29      712       64,009.89    14,371.40
    23 8581055ce74af1daba164fdbd55a40de          74,584.30      387       64,925.30     9,659.00
    24 f7ba60f8c3f99e7ee4042fdef03b70c4          72,736.01      219       68,395.00     4,341.01
    25 fe2032dab1a61af8794248c8196565c9          70,680.95      294       65,959.61     4,721.34
    26 de722cd6dad950a92b7d4f82673f8833          65,112.75      339       55,426.10     9,686.65
    27 7ddcbb64b5bc1ef36ca8c151f6ec77df          63,525.29      334       55,578.57     7,946.72
    28 04308b1ee57b6625f47df1d56f00eedf          63,184.99       94       60,130.60     3,054.39
    29 f8db351d8c4c4c22c6835c19a46f01b0          63,079.80      667       50,525.60    12,554.20
    30 218d46b86c1881d022bce9c68a7d4b15          62,737.54      388       55,093.28     7,644.26
    31 522620dcb18a6b31cd7bdf73665113a9          61,829.81      174       57,168.49     4,661.32
    32 25c5c91f63607446a97b143d2d535d31          61,679.33      158       54,679.22     7,000.11
    33 17e34d8224d27a541263c4c64b11a56b          61,603.20      255       56,363.24     5,239.96
    34 37be5a7c751166fbc5f8ccba4119e043          61,433.88      272       55,350.55     6,083.33
    35 ceaec5548eefc6e23e6607c5435102e7          59,249.02      203       52,917.18     6,331.84
    36 b2ba3715d723d245138f291a6fe42594          58,173.02      337       51,676.88     6,496.14
    37 17f51e7198701186712e53a39c564617          57,812.43       56       48,019.00     9,793.43
    38 f5a590cf36251cf1162ea35bef76fe84          57,440.94      117       53,201.78     4,239.16
    39 77530e9772f57a62c906e1c21538ab82          55,063.99      320       46,610.40     8,453.59
    40 8160255418d5aaa7dbdc9f4c64ebda44          54,871.50      385       47,017.69     7,853.81
    41 ea8482cd71df3c1969d7b9473ff13abc          54,722.29    1,146       37,177.52    17,544.77
    42 e882b2a25a10b9c057cc49695f222c19          53,913.76       57       51,057.54     2,856.22
    43 4e922959ae960d389249c378d1c939f5          53,304.75      420       46,030.37     7,274.38
    44 e9779976487b77c6d4ac45f75ec7afe9          53,302.66      657       43,162.95    10,139.71
    45 966cb4760537b1404caedd472cc610a5          52,935.87       75       51,286.05     1,649.82
    46 2bf6a2c1e71bbd29a4ad64e6d3c3629f          51,629.49       30       50,628.90     1,000.59
    47 4d6d651bd7684af3fffabd5f08d12e5a          51,486.31      369       43,587.40     7,898.91
    48 c826c40d7b19f62a09e2d7c5e7295ee2          51,217.22      354       45,643.74     5,573.48
    49 d91fb3b7d041e83b64a00a3edfb37e4f          50,180.51      535       40,889.74     9,290.77
    50 391fc6631aebcf3004804e51b40bcf1e          50,142.83      526       39,951.95    10,190.88
    51 17a053fcb14bd219540cbde0df490be0          49,531.57      125       40,703.14     8,828.43
    52 c3cfdc648177fdbbbb35635a37472c53          49,127.81      278       43,048.18     6,079.63
    53 06a2c3af7b3aee5d69171b0e14f0ee87          48,550.24      392       36,408.95    12,141.29
    54 850f4f8af5ea87287ac68de36e29107f          48,469.77      187       45,355.36     3,114.41
    55 b33e7c55446eabf8fe1a42d037ac7d6d          47,710.24      152       44,985.17     2,725.07
    56 eeb6de78f79159600292e314a77cbd18          46,795.28       83       43,739.84     3,055.44
    57 712e6ed8aa4aa1fa65dab41fed5737e4          46,704.13       79       39,815.00     6,889.13
    58 2eb70248d66e0e3ef83659f71b244378          45,860.10      202       42,628.61     3,231.49
    59 ba90964cff9b9e0e6f32b23b82465f7b          45,523.50       38       44,212.50     1,311.00
    60 634964b17796e64304cadf1ad3050fb7          45,420.53      268       39,465.10     5,955.43
    61 7142540dd4c91e2237acb7e911c4eba2          44,289.16      319       37,373.56     6,915.60
    62 834f3294fba9f932f56edc879193f925          44,207.42       66       39,907.50     4,299.92
    63 b839e41795b7f3ad94cc2014a52f6796          43,749.93       33       42,829.00       920.93
    64 c3867b4666c7d76867627c2f7fb22e21          42,197.18      245       37,153.40     5,043.78
    65 1835b56ce799e6a4dc4eddc053f04066          42,086.16      423       33,344.21     8,741.95
    66 dbc22125167c298ef99da25668e1011f          41,789.16      406       33,776.78     8,012.38
    67 7299e27ed73d2ad986de7f7c77d919fa          41,581.08      338       34,725.43     6,855.65
    68 7178f9f4dd81dcef02f62acdf8151e01          41,478.92      203       37,070.40     4,408.52
    69 c70c1b0d8ca86052f45a432a38b73958          40,476.28      261       36,537.37     3,938.91
    70 53e4c6e0f4312d4d2107a8c9cddf45cd          40,036.19      473       30,148.95     9,887.24
    71 855668e0971d4dfd7bef1b6a4133b41b          40,005.36      312       32,208.16     7,797.20
    72 e9bc59e7b60fc3063eb2290deda4cced          39,031.56      216       34,343.06     4,688.50
    73 87142160b41353c4e5fca2360caf6f92          38,314.31      305       31,095.98     7,218.33
    74 0241d4d5d36f10f80c644447315af0bd          38,251.61      238       31,397.70     6,853.91
    75 59417c56835dd8e2e72f91f809cd4092          37,657.77       18       36,459.00     1,198.77
    76 76d5af76d0271110f9af36c92573f765          37,541.56      131       33,461.60     4,079.96
    77 9c0e69c7bf2619675bbadf47b43f655a          36,602.96      157       33,702.78     2,900.18
    78 88460e8ebdecbfecb5f9601833981930          36,543.10      248       31,546.55     4,996.55
    79 70a12e78e608ac31179aea7f8422044b          36,465.44      315       30,858.53     5,606.91
    80 2528513dd95219a6013d4d05176e391a          36,438.75      161       32,689.10     3,749.65
    81 1554a68530182680ad5c8b042c3ab563          35,850.79      247       29,052.53     6,798.26
    82 7681ef142fd2c19048da7430856b5588          34,857.93       59       31,941.81     2,916.12
    83 70eea00b476a314817cefde4aad4f89a          34,764.17      108       31,994.65     2,769.52
    84 5c243662ce92d84573bfaff24c3e3700          34,637.66       98       32,862.02     1,775.64
    85 001cca7ae9ae17fb1caed9dfb1094831          33,934.17      200       25,080.03     8,854.14
    86 e59aa562b9f8076dd550fcddf0e73491          33,803.97       70       31,574.30     2,229.67
    87 1900267e848ceeba8fa32d80c1a5f5a8          33,120.59      411       24,982.53     8,138.06
    88 9f505651f4a6abe901a56cdc21508025          32,391.86      397       26,361.82     6,030.04
    89 d1c281d3ae149232351cd8c8cc885f0d          32,339.06      215       26,942.60     5,396.46
    90 0b90b6df587eb83608a64ea8b390cf07          32,207.64      164       28,592.32     3,615.32
    91 59b22a78efb79a4797979612b885db36          32,082.07      125       27,184.50     4,897.57
    92 d23019c84ffae2d5ef2270367b8605fc          31,954.84       39       29,205.10     2,749.74
    93 a3a38f4affed601eb87a97788c949667          31,775.27      254       26,533.32     5,241.95
    94 8b321bb669392f5163d04c59e235e066          31,692.05      943       17,535.69    14,156.36
    95 900ba814c251a692506d7834c1218441          31,467.94       88       29,099.69     2,368.25
    96 16090f2ca825584b5a147ab24aa30c86          31,173.11      402       25,716.44     5,456.67
    97 d2374cbcbb3ca4ab1086534108cc3ab7          30,817.80      524       21,223.92     9,593.88
    98 12b9676b00f60f3b700e83af21824c0e          30,342.69      135       26,774.00     3,568.69
    99 7e1fb0a3ebfb01ffb3a7dae98bf3238d          30,335.93      159       27,349.53     2,986.40
   100 897060da8b9a21f655304d50fd935913          29,887.47      317       23,023.92     6,863.55
